chamber,id,town,cover_area,total_area,share_covered
house,H055,Marlborough,60913153.02791765,236107747.43448153,0.25798879405607256
house,H056,Vernon,25373931.167363882,25373931.167363882,1
house,H057,East Windsor,49940440.53682423,139512630.8916178,0.35796357804779055
house,H057,Ellington,89572190.35479361,139512630.8916178,0.6420364219522097
house,H058,Enfield,39078603.2415638,39078603.2415638,1
house,H059,East Windsor,19544083.50897169,69020449.86394858,0.28316366450083286
house,H059,Enfield,49476366.354976654,69020449.86394858,0.7168363354991637
house,H060,Windsor,40233622.045880556,64510295.90801811,0.6236775305332283
house,H060,Windsor Locks,24276673.862137437,64510295.90801811,0.3763224694667699
house,H061,East Granby,45759413.74780414,169087554.0761898,0.27062555844403097
house,H061,Suffield,111082842.78889084,169087554.0761898,0.6569545783295062
house,H061,Windsor,12241671.802351475,169087554.0761898,0.07239842026950993
house,H062,Barkhamsted,100587978.24898434,394800530.05678433,0.254781771023754
house,H062,Granby,105683056.58732298,394800530.05678433,0.26768722061270417
house,H062,Hartland,89654657.81362152,394800530.05678433,0.22708849403197726
house,H062,New Hartford,98874790.92055695,394800530.05678433,0.2504423965852724
house,H063,Colebrook,85224984.19511032,288424856.00032735,0.29548418737882143
house,H063,Goshen,83370942.38405418,288424856.00032735,0.28905602499099303
house,H063,Torrington,32230375.704771042,288424856.00032735,0.11174617940949744
house,H063,Winchester,87597262.606559515,288424856.00032735,0.3037091318040221
house,H064,Canaan,85708409.21464747,901274125.7875061,0.09509693750473315
house,H064,Cornwall,120077674.30814934,901274125.7875061,0.13323102358367284
house,H064,Kent,128489935.61739692,901274125.7875061,0.1425647668572825
house,H064,Norfolk,120308914.85245228,901274125.7875061,0.1334875942958309
house,H064,North Canaan,50676551.556377426,901274125.7875061,0.05622767824616932
house,H064,Salisbury,155680025.7217865,901274125.7875061,0.17273326867756023
house,H064,Sharon,154061081.89791298,901274125.7875061,0.1709369851967059
house,H064,Torrington,52651104.70354462,901274125.7875061,0.05841852461651406
house,H065,Torrington,19492158.785350204,19501520.016500354,0.9995199742818903
house,H066,Bethlehem,50867176.89490986,377271376.585866,0.13482914435554222
house,H066,Litchfield,128669815.78488564,377271376.585866,0.3410537447852229
house,H066,Morris,48414465.62331295,377271376.585866,0.1283279586737849
house,H066,Warren,71345231.9240632,377271376.585866,0.18910852068795952
house,H066,Woodbury,77974686.35869408,377271376.585866,0.20668063149748983
house,H067,New Milford,118834634.80317992,118834634.80317992,1
house,H068,Watertown,76423403.53059661,93354492.3245148,0.8186365929229942
house,H068,Woodbury,16931088.793918192,93354492.3245148,0.1813634070770058
house,H069,Bridgewater,44818667.278375894,300422107.9500598,0.14918564943238552
house,H069,Roxbury,68349588.80577755,300422107.9500598,0.2275118474874011
house,H069,Southbury,87159551.08425426,300422107.9500598,0.2901236253183574
house,H069,Washington,100094300.78165245,300422107.9500598,0.3331788777618573
house,H070,Naugatuck,26223675.34891747,26223675.34891747,1
house,H071,Middlebury,47787199.58927119,61564224.97897291,0.7762170254818082
house,H071,Waterbury,13777025.389701605,61564224.97897291,0.2237829745181899
house,H072,Waterbury,19282779.016145825,19282779.016145825,1
house,H073,Waterbury,18373744.754976988,18373744.754976988,1
house,H074,Waterbury,15099119.315150678,15099169.69499439,0.9999966634030394
house,H075,Waterbury,8401260.744664848,8401260.744664848,1
house,H076,Burlington,78842036.74462843,209504399.8724631,0.3763264007468288
house,H076,Harwinton,80568473.35561275,209504399.8724631,0.3845669752265787
house,H076,Litchfield,18448176.208003413,209504399.8724631,0.08805627098635559
house,H076,Thomaston,31617090.828529358,209504399.8724631,0.1509137318728219
house,H077,Bristol,20565244.894066565,20565244.894066565,1
house,H078,Bristol,25870699.19867325,83662732.28609574,0.3092260853997092
house,H078,Plymouth,57792033.08742249,83662732.28609574,0.6907739146002908
house,H079,Bristol,23002922.121284664,23002922.121284664,1
house,H080,Southington,26283867.823885858,80953296.26846027,0.32467940201869405
house,H080,Wolcott,54668962.476160765,80953296.26846027,0.6753148419659845
house,H081,Southington,29606501.41464813,29625049.50706698,0.9993739050996547
house,H082,Meriden,33021946.794286132,67337258.95263636,0.4903963616563764
house,H082,Middlefield,34315312.15835023,67337258.95263636,0.5096036383436235
house,H083,Berlin,27250830.669119835,47733455.866210744,0.570895825047731
house,H083,Meriden,20482625.197090797,47733455.866210744,0.4291041749522667
house,H084,Meriden,9076463.14617002,9076463.14617002,1
house,H085,Wallingford,28937551.773315907,28937551.773315907,1
house,H086,Durham,22870523.99126737,160074516.07569575,0.14287423477483696
house,H086,Guilford,50574787.92077255,160074516.07569575,0.31594528073948286
house,H086,North Branford,69086245.03979982,160074516.07569575,0.43158802995931245
house,H086,Wallingford,17542959.123856366,160074516.07569575,0.10959245452636997
house,H087,North Haven,54668871.8988595,54669780.37381482,0.9999833825021958
house,H088,Hamden,45339190.41221081,45339190.41221081,1
house,H089,Bethany,55621805.87717003,109587356.56472486,0.5075567804605131
house,H089,Cheshire,16463845.954201698,109587356.56472486,0.15023490364490874
house,H089,Prospect,37501704.73335266,109587356.56472486,0.3422083158945738
house,H090,Cheshire,26242950.909293506,76293906.09541497,0.34397178296879244
house,H090,Wallingford,50050955.186121464,76293906.09541497,0.6560282170312076
house,H091,Hamden,36113591.20388706,36113591.20388706,1
house,H092,New Haven,10619304.366015851,10623804.748170316,0.9995763869667089
house,H093,New Haven,8264389.667249918,8264389.667249918,1
house,H094,Hamden,4807406.5040133,8182012.324217677,0.5875579641678137
house,H094,New Haven,3374605.820204258,8182012.324217677,0.41244203583217176
house,H095,New Haven,7111372.984690428,7129326.6792856455,0.997481712452961
house,H096,East Haven,6673946.608843923,13979538.346888125,0.4774082264547425
house,H096,New Haven,7305591.738044232,13979538.346888125,0.5225917735452597
house,H097,New Haven,13025632.214070499,13109694.877635956,0.9935877482771273
house,H098,Branford,21129469.99213952,95468173.5605914,0.22132475362304005
house,H098,Guilford,73443159.97140026,95468173.5605914,0.7692947003410264
house,H099,East Haven,26450886.123090744,26450886.123090744,1
house,H100,Middletown,68067660.65882206,68067660.65882206,1
house,H101,Durham,38751687.68572259,133888019.1354568,0.2894335724432284
house,H101,Madison,95136331.44973373,133888019.1354568,0.710566427556768
house,H102,Branford,39959417.431200266,39959417.431200266,1
house,H103,Cheshire,43713158.25633025,58524108.8545199,0.7469256535796738
house,H103,Southington,8050785.445934059,58524108.8545199,0.13756357172301112
house,H103,Wallingford,6755302.8751888275,58524108.8545199,0.11542769308937723
house,H104,Ansonia,16045922.141880512,19469938.508629143,0.8241383060747164
house,H104,Derby,3424016.366748631,19469938.508629143,0.17586169392528359
house,H105,Beacon Falls,25373918.43456614,68342817.86578465,0.37127410351145934
house,H105,Derby,4156578.035457611,68342817.86578465,0.06081952961934531
house,H105,Seymour,38812121.17317009,68342817.86578465,0.5679034371891345
house,H106,Newtown,122716572.38777328,122716572.38777328,1
house,H107,Bethel,9779645.062912345,64723748.44619381,0.15109824906143016
house,H107,Brookfield,52643250.40460731,64723748.44619381,0.8133529294640705
house,H108,New Fairfield,61902556.0178349,175659174.3961594,0.35240149699342055
house,H108,New Milford,46253752.535140134,175659174.3961594,0.2633153246571983
house,H108,Sherman,60576582.72027588,175659174.3961594,0.344852939953248
house,H109,Danbury,22104165.10412562,22107747.9369514,0.9998379376842907
house,H110,Danbury,8302637.154189229,8302637.154189229,1
house,H111,Ridgefield,85097106.64795852,85113596.53501874,0.99980626024828545
house,H112,Monroe,68015780.92794514,87898481.05121899,0.7737992751923884
house,H112,Newtown,19880802.15125084,87898481.05121899,0.2261791320337626
house,H113,Shelton,38670389.01056582,38670389.01056582,1
house,H114,Derby,6448435.946959257,79482219.15886855,0.08113054737525842
house,H114,Orange,23323556.17591071,79482219.15886855,0.29344369624722905
house,H114,Woodbridge,49710227.0359987,79482219.15886855,0.6254257563775141
house,H115,West Haven,9767471.327682734,9869433.006243467,0.9896689426336617
house,H116,West Haven,12101229.545722485,12630873.073277473,0.9580675441450259
house,H117,Milford,6969964.575915128,24264368.748621553,0.28725101601133096
house,H117,Orange,10861028.799235702,24264368.748621553,0.4476122544854051
house,H117,West Haven,6224825.456757069,24264368.748621553,0.2565418256393214
house,H118,Milford,20278364.802083284,20618432.635479063,0.9835066108366254
house,H119,Milford,34079261.49041755,45063718.856461376,0.7562460967539779
house,H119,Orange,10925813.584230423,45063718.856461376,0.24245255077663982
house,H120,Stratford,19819407.278876126,19819407.278876126,1
house,H121,Stratford,19026107.713835508,19026107.713835508,1
house,H122,Shelton,43892854.41699529,58424448.302315235,0.7512754624549173
house,H122,Stratford,10366973.764064074,58424448.302315235,0.17744239039144255
house,H122,Trumbull,4164620.1212558746,58424448.302315235,0.07128214715364013
house,H123,Trumbull,45111100.935052276,45111569.12177938,0.9999896215818642
house,H124,Bridgeport,9632877.682336926,9632877.682336926,1
house,H125,New Canaan,49982541.571605444,73741439.6083101,0.6778080525291614
house,H125,Wilton,23741640.58098793,73741439.6083101,0.3219579209070991
house,H126,Bridgeport,9880329.813549042,9880329.813549042,1
house,H127,Bridgeport,6507256.012358189,6507256.012358189,1
house,H128,Bridgeport,4262220.192668319,4262220.192668319,1
house,H129,Bridgeport,6239213.18219433,6652257.628374472,0.9379091326201278
house,H130,Bridgeport,7872353.877971418,8387336.499659412,0.938599980851024
house,H131,Naugatuck,16305533.940375052,119210629.00978261,0.1367791955785838
house,H131,Oxford,86284396.78646933,119210629.00978261,0.7237978484233037
house,H131,Southbury,16620606.311190605,119210629.00978261,0.13942218449184335
house,H132,Fairfield,24706622.364308953,25123724.2065053,0.9833980886445034
house,H133,Fairfield,13862837.181797057,13863082.42139873,0.9999823098792738
house,H134,Fairfield,40557130.89735925,52119833.7020396,0.7781515790940088
house,H134,Trumbull,11562702.804680347,52119833.7020396,0.22184842090599122
house,H135,Easton,74234320.17018938,182399691.2169912,0.40698709342592454
house,H135,Redding,54540878.52379025,182399691.2169912,0.2990184805680722
house,H135,Weston,53614772.42987299,182399691.2169912,0.29394113593147675
house,H136,Westport,51553816.18550344,51582236.063199714,0.999449037500789
house,H137,Norwalk,17141946.71270074,17141946.71270074,1
house,H138,Danbury,44107913.62767506,52757374.71070874,0.8360520945088269
house,H138,New Fairfield,3216043.8499287367,52757374.71070874,0.06095913353467039
house,H138,Ridgefield,5433417.2331368625,52757374.71070874,0.10298877195710769
house,H139,Bozrah,52473303.01055336,130490377.12270102,0.4021239279675952
house,H139,Montville,51039817.13476384,130490377.12270102,0.3911385518241758
house,H139,Norwich,26977256.97738391,130490377.12270102,0.20673752020822966
house,H140,Norwalk,5788394.619970173,5788394.619970173,1
house,H141,Darien,31705656.537092417,38074210.72144,0.8327331266052646
